Compound no,nS,BCUTs-1l,NsssN,AATS2i,BCUTd-1h,MATS2i,EState_VSA5,PEOE_VSA3,ATSC2i,NddssS,VSA_EState1,SlogP_VSA2,Binary
389,0,0.293591348,0,165.0769812,4.032465403,-0.37561494,0,4.565048285,-12.68234269,0,10.00356481,21.97984775,0
391,0,1.140316497,2,156.0234358,4.020445976,0.167992604,12.00970727,10.27463378,24.48111725,0,4.915041693,65.7005796,0
392,0,1.173372274,1,153.3030223,4.028925533,0.283497129,17.03264387,4.794537184,36.35161813,0,0,59.23873055,0
393,0,0.293802006,0,154.1401969,4.048530297,-0.051466706,63.24755801,13.89789358,-7.99693139,1,30.657662,31.89196531,0
394,0,0.628279214,0,145.8396616,3.21265848,0.070659968,11.76188495,0,8.869270554,0,5.190530802,29.26146291,0
396,0,1.366438242,2,158.1979161,3.24505672,0.007403789,0,14.87719751,1.342745327,0,0,68.04259399,0
397,0,1.192145346,1,154.9130629,3.192472341,-0.142571166,12.13273414,0,-16.83085588,0,0,46.01887191,0
398,1,0.297592414,2,157.8444859,4.048538256,0.217920433,25.24677319,13.89789358,34.39252232,1,33.61183405,57.72096263,0
399,0,0.298667253,0,147.8085205,4.043833199,0.012227849,11.62981856,8.417796984,2.082141112,1,28.23356826,30.51944902,0
401,0,1.125298311,0,156.0094209,4.034568264,0.108052743,0,4.794537184,9.306721648,0,0,17.84547397,0
402,0,1.140316374,3,157.9171466,4.020452148,0.021055884,4.899909731,10.27463378,3.995312174,0,11.15193393,90.99802519,0
403,0,1.192099291,1,153.5153038,4.017081756,-0.10440625,17.03264387,0,-19.58231017,0,0,50.92022049,0
404,0,0.298935928,0,152.1871389,4.043826915,-0.01336042,19.18040612,8.417796984,-3.161122646,1,26.82688175,44.21282751,0
406,1,1.169943797,4,159.2768276,3.19131579,0.072997891,0,5.480096598,14.35416319,0,0,97.03424464,0
407,0,1.125556553,0,145.8720389,4.034659228,0.061008918,25.12283841,0,7.552279839,0,0,48.60735741,0
408,0,0.292876563,1,150.0214925,4.128863323,0.092404743,16.33589992,13.89789358,17.06706249,1,30.48250283,50.58252893,0
409,1,1.141109619,1,154.1926739,4.02042541,0.072862466,16.70000751,5.480096598,11.89380861,0,0,47.59763226,0
411,0,0.293803672,0,153.4923614,4.048527533,-0.02753458,29.74556487,13.89789358,-3.418179095,1,30.81324212,31.38904973,0
412,0,0.292491498,0,146.2972743,4.048859063,0.06670292,30.33183534,8.417796984,8.018811124,1,42.48754412,25.31441773,0
413,0,0.294372959,1,155.2706594,4.128001314,0.152598015,23.63278699,23.18708809,26.2048237,1,30.83152956,64.97825084,0
414,0,1.215115714,0,153.8579188,3.147164609,-0.131162768,36.39820241,13.57536728,-41.13195156,0,26.30130508,54.133642,0
416,0,1.192143804,1,152.3835176,3.192651516,-0.042324069,0,0,-5.568647818,0,5.177163477,41.660602,0
417,0,0.297601852,1,150.6049117,4.048485476,0.032199396,17.61283074,13.89789358,4.875944471,1,26.33190398,36.64947652,0
418,0,0.294186697,0,146.5790121,4.04431696,-0.083858803,12.13273414,16.83559397,-12.29821207,2,53.24641008,39.70612109,0
419,0,1.169338376,0,144.4732213,3.316958369,-0.082693567,18.19910121,0,-20.21143203,0,18.57124702,94.90981009,0
421,0,0.297606425,1,161.209244,4.04846553,0.049546332,36.85536241,13.89789358,4.308309643,1,29.99280435,44.26218964,0
422,0,0.610207099,0,152.4650314,3.080578614,-0.150469529,0,9.967957042,-15.35838383,0,0,20.16532066,0
423,0,0.29758312,1,154.0822613,4.04855017,0.065912602,19.24253168,8.417796984,10.92672737,1,38.61727331,89.5207149,0
424,0,0.292877099,0,158.4830347,4.128893378,0.376499629,41.87829901,13.89789358,102.9150231,1,75.68361254,62.91419308,0
426,0,0.2938014,1,146.2248011,4.048546746,0.008593767,12.13273414,8.417796984,1.218257717,1,26.10972589,48.00259329,0
427,1,0.295167276,2,158.127886,4.045710331,0.173999235,24.26546827,13.89789358,30.15304812,1,31.62537637,81.32857768,0
428,0,0.2928774,2,154.3436164,4.128854975,0.081287524,12.13273414,13.89789358,13.32594339,1,30.25510782,63.67204174,0
429,0,0.298933799,0,149.0891108,4.043826385,-0.040017299,12.13273414,8.417796984,-5.804558827,1,27.56564281,31.44265023,0
431,0,0.29893662,0,151.563061,4.04381858,-0.058578266,24.26546827,8.417796984,-7.02013263,1,26.86930666,31.44265023,0
432,1,1.296112619,0,150.8995614,3.282112344,-0.087778452,0,0,-9.205092051,0,0,22.54244205,0
433,0,0.297602457,1,153.2262759,4.04862787,0.033595897,43.98509315,13.89789358,5.206015487,1,32.24786233,43.25635848,0
434,0,0.297602433,1,153.2267003,4.048481185,0.033891741,31.1434499,13.89789358,5.251859456,1,32.11344438,43.75927406,0
436,0,0.298667028,0,148.924486,4.043834148,0.00757789,6.066367068,8.417796984,1.298040439,1,33.86479623,37.12633098,0
437,0,0.293590862,0,162.9380003,4.032467691,-0.381717118,0,4.565048285,-15.80140881,0,10.14912037,21.47693217,0
438,0,0.298937049,0,156.3911575,4.043817038,-0.017081258,18.47020087,18.28830863,-2.55905467,1,45.67484817,38.7878345,0
439,0,1.072417828,0,150.4073099,4.120969658,0.077329944,0,0,13.64281533,0,12.6638107,52.48543696,0
441,0,0.298934031,0,148.6631345,4.043829839,0.009597493,23.46952001,13.40177551,1.321526634,1,33.48750581,30.51944902,0
442,0,1.3045016,0,145.271276,3.07903793,-0.237956411,6.076020107,0,-16.68989995,0,0,11.01370712,0
443,0,0.297568639,1,150.5867466,4.048661302,0.104476324,41.87829901,13.89789358,11.24256676,1,27.23310311,35.48872953,0
444,0,1.304501341,0,145.4371327,3.177774844,-0.233165026,24.28477435,0,-16.62467256,0,0,16.12023452,0
446,0,0.297589329,1,150.0758095,4.04859108,0.043941285,17.61283074,18.20310957,5.018331884,1,26.08550674,35.78646629,0
447,0,1.512131296,0,147.1887816,3.076039999,-0.206920308,18.20875424,4.390415048,-22.15448886,0,12.89906259,5.907179729,0
448,0,0.29893311,0,149.0683329,4.043837709,0.026868661,13.17616461,8.417796984,4.211902536,1,33.25810431,42.55255761,0
449,0,1.50590587,0,147.3188903,3.07903793,-0.205916813,30.34148838,4.390415048,-22.11409665,0,12.9157063,11.01370712,0
451,0,1.45737262,0,147.4437947,3.177774844,-0.204742184,42.48387556,4.390415048,-22.04306909,0,12.92985543,16.12023452,0
452,0,0.297602036,1,153.5227344,4.048483667,0.059615622,36.85536241,13.89789358,8.612801321,1,37.20957696,37.65530767,0
453,0,0.298933805,0,151.0903051,4.043827362,0.020325679,12.13273414,8.417796984,3.153398356,1,32.70438713,38.55244777,0
454,0,1.304502029,0,145.0985086,3.076039999,-0.242736654,6.076020107,0,-16.71220989,0,0,5.907179729,0
456,0,1.169047178,1,154.5392479,4.029927834,0.163939306,12.00970727,4.794537184,22.00334835,0,11.05733576,41.38391617,0
457,1,1.181223453,1,155.2837784,3.191528552,0.003535735,5.563451492,10.27463378,0.809557116,0,5.183111833,72.68756487,0
458,0,1.149352273,0,153.0569775,4.029851415,0.016935286,19.26246487,4.794537184,2.439426197,0,0,17.84547397,0
459,0,1.503628431,0,147.1629641,3.07903793,-0.137279449,6.076020107,0,-10.94837874,0,0,11.01370712,0
461,1,0.29893532,0,153.0814495,4.043821301,0.061428397,12.13273414,8.417796984,8.665096176,1,32.94589788,45.73478085,0
462,0,1.511854436,0,145.5612002,3.076039999,-0.242951804,12.14238718,0,-17.42528397,0,0,11.01370712,0
463,0,0.298933254,0,150.9826995,4.043827357,0.007920358,12.13273414,13.21233417,1.290034545,1,32.80455088,38.17346697,0
464,1,1.175563324,2,154.8681944,3.213187891,0.09440243,11.04354809,5.480096598,15.24609836,0,5.37781967,88.13229349,0
466,0,0.297586848,1,154.8521695,4.048532711,0.07603092,43.64812949,8.417796984,8.996354571,1,32.24064197,41.93446255,0
467,0,0.298668761,0,146.5771663,4.043830529,0.045022934,6.066367068,8.417796984,6.556262293,1,28.07566913,30.51944902,0
468,0,1.403349925,0,146.3285902,3.242060871,-0.102365891,0,0,-14.62515812,0,0,15.87513677,0
469,0,1.503697183,0,147.1629641,3.076685863,-0.137279449,6.076020107,0,-10.94837874,0,0,11.01370712,0
471,0,1.19214222,1,150.5294145,3.197726778,-0.153973103,17.03264387,0,-23.20630591,0,0,44.45809402,0
472,0,1.505898464,0,149.4650092,3.080002823,-0.082521842,6.076020107,0,-6.662261373,0,5.081784609,18.12350467,0
473,0,0.294602709,1,155.1481711,4.049570435,0.113395541,28.57068427,26.62090656,18.34774281,2,57.50453858,62.95442913,0
474,0,1.511037306,0,149.4650092,3.078071999,-0.082521842,6.076020107,0,-6.662261373,0,5.083912815,18.12350467,0
476,0,1.457372605,0,149.5369232,3.177783295,-0.085042724,24.28477435,0,-6.941369495,0,5.069306525,23.23003206,0
477,0,1.51211405,0,147.3188903,3.076685863,-0.205916813,36.40785545,4.390415048,-22.11409665,0,12.91321172,11.01370712,0
478,0,1.45737262,0,145.8750398,3.177774844,-0.233973489,36.41750849,0,-17.25917882,0,0,21.22676191,0
479,0,1.364328479,0,142.8670312,3.307371437,-0.164523711,6.066367068,0,-11.50245987,0,5.353238851,25.53263697,0
481,0,1.511838995,0,145.7212584,3.076685863,-0.238456147,18.20875424,0,-17.35888722,0,0,16.12023452,0
482,0,1.215116623,0,153.799695,3.240795382,-0.063968549,0,0,-11.41361386,0,0,35.79503052,0
483,0,1.505904324,0,145.7212584,3.07903793,-0.238456147,18.20875424,0,-17.35888722,0,0,16.12023452,0
484,0,0.298936565,0,149.4739102,4.043816728,0.041379974,12.13273414,8.417796984,4.451886604,1,27.92946905,25.5354705,0
486,0,0.297898786,3,157.9430796,4.042992286,0.011358062,4.305215991,13.89789358,1.899193686,1,26.28138089,79.66592723,0
487,0,0.296085311,0,147.7584523,4.048729573,0.03394391,24.26546827,12.80821203,5.482984756,1,38.26226345,32.07540037,0
488,0,0.297596348,1,160.0559945,4.048453683,0.168223764,24.66050272,13.89789358,15.24784025,1,25.07664297,43.97463052,0
489,0,0.298936123,1,150.1416095,4.043818772,0.002697864,12.13273414,13.48101471,0.314740162,1,27.4552993,37.1820447,0
